iter	RMSE
0	6239.904015
1	5316.57063
2	4393.214806
3	3856.894694
4	3367.679888
5	2990.894403
6	2701.209966
7	2478.39402
8	2343.84581
9	2238.792946
10	2164.859126
11	2113.610413
12	2023.701809
13	1979.246246
14	1939.556186
15	1890.848559
16	1867.925092
17	1810.810628
18	1756.313394
19	1742.776022
20	1701.274222
21	1660.976474
22	1638.726394
23	1585.158141
24	1561.654933
25	1537.66565
26	1516.186019
27	1480.123722
28	1456.473191
29	1440.675715
30	1429.135249
31	1402.644468
32	1357.407156
33	1341.748206
34	1331.788052
35	1316.858404
36	1304.986133
37	1295.592457
38	1281.883555
39	1272.129775
40	1262.157969
41	1249.601956
42	1241.421184
43	1222.144631
44	1211.728665
45	1196.265701
46	1193.404981
47	1187.421451
48	1182.384129
49	1159.627798
50	1153.293391
51	1146.266008
52	1130.444237
53	1125.93041
54	1122.757744
55	1116.498302
56	1107.565423
57	1098.519766
58	1088.773324
59	1084.026047
60	1073.365172
61	1066.258412
62	1060.298022
63	1055.680374
64	1051.882611
65	1046.000325
66	1043.893681
67	1036.627174
68	1026.347805
69	1020.52106
70	1015.785788
71	1012.259858
72	1009.65443
73	1003.536278
74	1001.939843
75	992.0610271
76	985.7406338
77	979.1314435
78	977.9722045
79	976.5305458
80	975.6280804
81	972.9196196
82	969.9474906
83	964.094621
84	963.0708546
85	950.6221787
86	948.0904862
87	946.8577119
88	946.3312897
89	944.4149242
90	941.5198214
91	940.5647737
92	932.4467729
93	927.3716741
94	925.3024596
95	915.7921015
96	915.2037864
97	910.2058853
98	905.2491542
99	897.3926934
100	893.6406824
101	889.9044283
102	887.7505638
103	882.8627586
104	876.0511647
105	873.9713497
106	869.6375484
107	861.2851958
108	852.4971217
109	851.0508442
110	845.9699232
111	844.8896314
112	843.6971414
113	842.2888186
114	841.2981691
115	837.5609544
116	836.3133755
117	834.279408
118	833.5125108
119	828.3509864
120	826.0807521
121	825.4992587
122	823.0572486
123	816.0255706
124	806.5840363
125	802.4831011
126	801.5387074
127	799.5037683
128	795.4140502
129	793.4847505
130	792.8009076
131	791.9844953
132	791.1395849
133	787.6209996
134	787.1456002
135	785.5346823
136	781.8969038
137	781.6642547
138	781.512479
139	781.0130544
140	777.4192516
141	774.5949256
142	774.0576877
143	769.292077
144	768.0273857
145	767.5198281
146	763.0268964
147	761.8133476
148	760.6178425
149	759.3355092
150	758.7602921
151	757.7621425
152	757.286105
153	756.3634983
154	751.5088073
155	749.0190057
156	746.4822628
157	745.3444168
158	743.4850152
159	742.8016173
160	738.872744
161	736.9644781
162	734.607833
163	730.9275503
164	729.072282
165	726.4044681
166	724.7922156
167	724.6168178
168	723.6225099
169	723.4664536
170	722.3559146
171	721.5095619
172	719.2112498
173	717.9393236
174	717.1828405
175	716.9709899
176	714.7905047
177	711.3908056
178	711.1682645
179	710.7270111
180	708.3180585
181	706.1969707
182	705.908246
183	705.8061237
184	704.2601187
185	702.0399157
186	699.463406
187	698.8062734
188	696.9997838
189	695.9241821
190	695.9012771
191	694.1739529
192	693.6704084
193	693.0393313
194	691.5690901
195	691.3590513
196	689.6456122
197	689.3873659
198	688.7407581
199	687.4473687
200	686.5117279
201	685.5846782
202	683.7069337
203	682.0600093
204	681.0177604
205	679.1011445
206	678.3376017
207	677.750352
208	675.9192236
209	673.3582667
210	672.6095003
211	671.7444617
212	669.5353393
213	669.4592685
214	668.2333415
215	668.1745194
216	666.246602
217	665.7188111
218	665.2303042
219	665.1667095
220	664.5074657
221	663.7234675
222	662.5307376
223	660.9707043
224	660.5596209
225	659.4923016
226	658.8569564
227	658.5792486
228	656.6009136
229	655.0384177
230	654.3298045
231	654.2449987
232	652.630764
233	651.4642354
234	650.7135725
235	649.4185467
236	648.9527603
237	648.8924905
238	647.9148311
239	647.7173787
240	646.9784074
241	646.8876945
242	645.7897941
243	644.847721
244	643.5031628
245	643.085092
246	642.4183233
247	641.0948299
248	640.6110669
249	639.2984593
250	639.0371221
251	638.2479615
252	637.2698458
253	637.1933162
254	635.7061418
255	635.2205987
256	635.1837373
257	634.7741852
258	634.1607411
259	633.2705036
260	633.2338786
261	633.18262
262	631.2406816
263	629.6370118
264	629.3671024
265	628.7603885
266	628.5545453
267	627.4141006
268	626.0793977
269	625.84539
270	625.8148826
271	625.2795772
272	625.1934957
273	624.6274557
274	624.1446358
275	622.9501169
276	622.0736065
277	621.9320364
278	620.8084349
279	619.8978227
280	619.5149734
281	618.339049
282	617.7700495
283	617.6821199
284	616.8316353
285	616.1298476
286	614.9485161
287	614.9070865
288	613.4060933
289	613.0961391
290	612.228566
291	611.9784364
292	611.9167095
293	611.676967
294	610.8472652
295	609.9501685
296	609.3570251
297	609.3234631
298	609.0710306
299	608.0026455
300	607.9496154
301	607.4662803
302	607.4223862
303	606.8297888
304	606.7446269
305	606.7015069
306	606.6665635
307	606.1593254
308	606.1249306
309	605.9595703
310	605.6339466
311	605.2145529
312	604.6861597
313	604.6570943
314	604.0682206
315	604.0128523
316	603.4819138
317	602.7697649
318	602.5599581
319	601.7528361
320	601.330198
321	601.1748918
322	599.7960235
323	599.595134
324	599.0879728
325	599.0080391
326	598.7244799
327	598.5895556
328	598.0590889
329	597.7214524
330	597.0967864
331	597.0633499
332	595.9460938
333	595.3898236
334	595.1368063
335	595.1163358
336	594.3769755
337	594.3500995
