iter	Passed	Remaining
0	0	292
1	1	259
2	1	224
3	1	212
4	2	206
5	2	198
6	2	194
7	3	197
8	3	201
9	4	199
10	4	194
11	4	189
12	4	186
13	5	182
14	5	179
15	5	176
16	6	174
17	6	171
18	6	170
19	6	167
20	7	166
21	7	164
22	7	165
23	8	163
24	8	162
25	8	161
26	9	160
27	9	160
28	9	159
29	10	157
30	10	156
31	10	155
32	10	154
33	11	155
34	11	154
35	11	154
36	12	153
37	12	152
38	12	151
39	13	150
40	13	149
41	13	149
42	13	148
43	14	147
44	14	146
45	15	148
46	15	149
47	15	149
48	16	149
49	16	150
50	17	150
51	17	150
52	17	149
53	17	148
54	18	147
55	18	147
56	18	146
57	19	145
58	19	144
59	19	144
60	20	144
61	20	143
62	20	143
63	20	142
64	21	142
65	21	141
66	21	141
67	22	140
68	22	140
69	22	139
70	23	139
71	23	138
72	23	138
73	24	138
74	24	137
75	24	137
76	24	137
77	25	136
78	25	136
79	25	135
80	26	135
81	26	135
82	27	136
83	27	136
84	27	136
85	28	135
86	28	135
87	28	134
88	29	134
89	29	133
90	29	133
91	29	132
92	30	132
93	30	132
94	30	131
95	31	131
96	31	131
97	32	131
98	32	131
99	32	130
100	32	130
101	33	129
102	33	129
103	33	129
104	34	128
105	34	128
106	34	127
107	35	127
108	35	126
109	35	126
110	35	126
111	36	125
112	36	125
113	36	124
114	37	124
115	37	124
116	37	123
117	38	123
118	38	123
119	39	124
120	39	124
121	39	123
122	40	123
123	40	123
124	41	123
125	41	122
126	41	122
127	42	122
128	42	121
129	42	121
130	42	120
131	43	120
132	43	120
133	44	120
134	44	119
135	44	119
136	45	119
137	45	119
138	45	118
139	46	118
140	46	118
141	46	117
142	47	117
143	47	117
144	47	116
145	48	116
146	48	116
147	48	115
148	48	115
149	49	114
150	49	114
151	50	114
152	50	114
153	51	114
154	51	114
155	51	114
156	52	113
157	52	113
158	52	113
159	53	112
160	53	112
161	53	112
162	54	111
163	54	111
164	54	111
165	55	111
166	55	110
167	55	110
168	56	110
169	56	109
170	56	109
171	57	109
172	57	108
173	57	108
174	58	108
175	58	107
176	58	107
177	59	107
178	59	106
179	59	106
180	60	105
181	60	105
182	60	105
183	61	104
184	61	104
185	70	118
186	70	118
187	70	117
188	71	117
189	71	116
190	71	116
191	72	115
192	72	115
193	72	114
194	73	114
195	73	113
196	73	113
197	73	112
198	74	112
199	74	111
200	74	111
201	75	110
202	75	110
203	75	110
204	76	109
205	76	109
206	77	109
207	77	108
208	77	108
209	78	107
210	78	107
211	78	106
212	79	106
213	79	106
214	79	105
215	79	105
216	80	104
217	80	104
218	81	104
219	81	103
220	81	103
221	82	102
222	82	102
223	82	101
224	82	101
225	83	100
226	83	100
227	83	100
228	84	99
229	84	99
230	84	98
231	85	98
232	85	97
233	85	97
234	85	96
235	86	96
236	86	96
237	86	95
238	87	95
239	87	95
240	88	94
241	88	94
242	89	94
243	89	93
244	89	93
245	89	92
246	90	92
247	90	92
248	90	91
249	91	91
250	91	90
251	91	90
252	92	90
253	92	89
254	92	89
255	93	88
256	93	88
257	94	88
258	94	87
259	94	87
260	95	87
261	95	86
262	95	86
263	96	85
264	96	85
265	96	85
266	96	84
267	97	84
268	97	83
269	97	83
270	98	83
271	98	82
272	98	82
273	99	81
274	99	81
275	100	81
276	100	81
277	101	80
278	101	80
279	101	79
280	102	79
281	102	79
282	102	78
283	103	78
284	103	78
285	104	77
286	104	77
287	104	77
288	105	76
289	105	76
290	106	76
291	106	75
292	106	75
293	107	74
294	107	74
295	107	74
296	107	73
297	108	73
298	108	72
299	108	72
300	109	72
301	109	71
302	109	71
303	110	71
304	110	70
305	110	70
306	111	69
307	111	69
308	112	69
309	112	68
310	112	68
311	113	68
312	113	67
313	113	67
314	114	67
315	114	66
316	114	66
317	115	65
318	115	65
319	115	65
320	116	64
321	116	64
322	116	63
323	117	63
324	117	63
325	117	62
326	118	62
327	118	62
328	118	61
329	119	61
330	119	60
331	119	60
332	120	60
333	120	59
334	120	59
335	120	59
336	121	58
337	121	58
338	121	57
339	122	57
340	122	57
341	123	56
342	123	56
343	123	56
344	124	55
345	124	55
346	125	55
347	125	54
348	125	54
349	126	54
350	126	53
351	126	53
352	127	52
353	127	52
354	127	52
355	128	51
356	128	51
357	128	51
358	129	50
359	129	50
360	129	50
361	130	49
362	130	49
363	130	48
364	131	48
365	131	48
366	131	47
367	132	47
368	132	47
369	132	46
370	133	46
371	133	45
372	133	45
373	134	45
374	134	44
375	134	44
376	135	44
377	135	43
378	136	43
379	136	43
380	136	42
381	137	42
382	137	42
383	137	41
384	138	41
385	138	40
386	138	40
387	139	40
388	139	39
389	139	39
390	140	39
391	140	38
392	140	38
393	141	37
394	141	37
395	141	37
396	142	36
397	142	36
398	142	36
399	143	35
400	143	35
401	143	35
402	144	34
403	144	34
404	144	33
405	144	33
406	145	33
407	145	32
408	145	32
409	146	32
410	147	31
411	147	31
412	148	31
413	148	30
414	148	30
415	149	30
416	149	29
417	149	29
418	150	29
419	150	28
420	150	28
421	151	27
422	151	27
423	151	27
424	152	26
425	152	26
426	152	26
427	153	25
428	153	25
429	153	25
430	153	24
431	154	24
432	154	23
433	154	23
434	155	23
435	155	22
436	155	22
437	156	22
438	156	21
439	156	21
440	157	21
441	157	20
442	157	20
443	158	19
444	158	19
445	159	19
446	159	18
447	160	18
448	160	18
449	160	17
450	161	17
451	161	17
452	161	16
453	162	16
454	162	16
455	162	15
456	162	15
457	163	14
458	163	14
459	163	14
460	164	13
461	164	13
462	164	13
463	165	12
464	165	12
465	166	12
466	166	11
467	166	11
468	167	11
469	167	10
470	167	10
471	167	9
472	168	9
473	168	9
474	168	8
475	169	8
476	169	8
477	169	7
478	170	7
479	170	7
480	171	6
481	171	6
482	172	6
483	172	5
484	172	5
485	173	4
486	173	4
487	173	4
488	174	3
489	174	3
490	174	3
491	175	2
492	175	2
493	175	2
494	176	1
495	176	1
496	176	1
497	177	0
498	177	0
499	177	0
