iter	Passed	Remaining
0	36	36450
1	77	38725
2	107	35687
3	140	35030
4	166	33110
5	189	31446
6	217	30827
7	238	29575
8	268	29514
9	292	28939
10	324	29175
11	356	29326
12	385	29284
13	411	29013
14	435	28567
15	477	29392
16	498	28834
17	521	28466
18	541	27976
19	561	27536
20	579	27021
21	612	27215
22	644	27384
23	668	27197
24	688	26853
25	704	26406
26	727	26231
27	751	26087
28	772	25849
29	792	25617
30	832	26032
31	858	25970
32	877	25705
33	898	25522
34	917	25296
35	937	25111
36	958	24936
37	981	24837
38	1001	24674
39	1020	24480
40	1043	24417
41	1065	24300
42	1084	24147
43	1125	24447
44	1152	24451
45	1174	24355
46	1192	24175
47	1209	23991
48	1227	23823
49	1244	23638
50	1260	23447
51	1276	23273
52	1295	23150
53	1313	23016
54	1331	22869
55	1352	22798
56	1369	22658
57	1384	22493
58	1404	22395
59	1419	22246
60	1436	22106
61	1452	21968
62	1468	21839
63	1483	21697
64	1499	21569
65	1515	21450
66	1531	21321
67	1546	21190
68	1560	21049
69	1581	21010
70	1602	20972
71	1619	20874
72	1637	20788
73	1655	20718
74	1673	20645
75	1689	20543
76	1709	20497
77	1728	20427
78	1744	20335
79	1760	20251
80	1778	20175
81	1795	20096
82	1811	20018
83	1827	19932
84	1843	19842
85	1861	19784
86	1881	19749
87	1897	19668
88	1914	19601
89	1931	19525
90	1947	19454
91	1962	19372
92	1980	19312
93	1996	19239
94	2013	19181
95	2030	19119
96	2044	19032
97	2060	18964
98	2077	18906
99	2096	18870
100	2112	18805
101	2128	18743
102	2145	18688
103	2162	18627
104	2177	18557
105	2191	18485
106	2207	18425
107	2225	18382
108	2238	18301
109	2254	18238
110	2271	18195
111	2286	18124
112	2300	18060
113	2316	18001
114	2332	17951
115	2349	17907
116	2365	17849
117	2381	17799
118	2397	17749
119	2413	17698
120	2430	17652
121	2445	17596
122	2460	17540
123	2478	17507
124	2498	17488
125	2519	17476
126	2537	17441
127	2553	17394
128	2569	17350
129	2586	17306
130	2605	17283
131	2622	17242
132	2638	17200
133	2654	17157
134	2669	17106
135	2686	17069
136	2703	17028
137	2720	16994
138	2736	16949
139	2752	16910
140	2768	16868
141	2783	16820
142	2802	16798
143	2821	16772
144	2838	16737
145	2862	16744
146	2879	16706
147	2894	16664
148	2911	16626
149	2927	16589
150	2945	16560
151	2962	16526
152	2980	16500
153	2997	16465
154	3014	16434
155	3031	16398
156	3046	16356
157	3061	16315
158	3078	16284
159	3096	16254
160	3115	16234
161	3135	16217
162	3156	16208
163	3173	16178
164	3191	16153
165	3208	16121
166	3225	16087
167	3242	16056
168	3257	16016
169	3273	15983
170	3291	15955
171	3307	15921
172	3325	15895
173	3343	15872
174	3364	15862
175	3380	15826
176	3397	15796
177	3413	15763
178	3429	15730
179	3446	15699
180	3462	15666
181	3479	15640
182	3496	15610
183	3514	15584
184	3532	15563
185	3549	15532
186	3568	15516
187	3587	15496
188	3605	15470
189	3622	15441
190	3638	15409
191	3653	15373
192	3668	15338
193	3684	15306
194	3697	15265
195	3716	15244
196	3731	15208
197	3745	15169
198	3761	15140
199	3779	15117
200	3792	15077
201	3809	15049
202	3825	15020
203	3845	15005
204	3860	14971
205	3879	14953
206	3893	14917
207	3910	14890
208	3926	14859
209	3941	14828
210	3956	14795
211	3975	14776
212	3992	14750
213	4008	14723
214	4029	14713
215	4046	14686
216	4062	14658
217	4080	14636
218	4099	14621
219	4118	14602
220	4137	14582
221	4153	14555
222	4169	14527
223	4188	14509
224	4205	14485
225	4221	14458
226	4237	14430
227	4254	14403
228	4270	14377
229	4286	14351
230	4304	14328
231	4321	14304
232	4339	14286
233	4359	14272
234	4376	14246
235	4392	14218
236	4408	14193
237	4424	14166
238	4441	14142
239	4457	14114
240	4472	14084
241	4487	14055
242	4505	14034
243	4521	14008
244	4537	13984
245	4555	13962
246	4571	13936
247	4592	13925
248	4610	13904
249	4627	13882
250	4645	13863
251	4660	13833
252	4675	13804
253	4692	13780
254	4707	13752
255	4723	13727
256	4738	13699
257	4752	13669
258	4769	13644
259	4785	13619
260	4801	13594
261	4817	13570
262	4830	13536
263	4848	13516
264	4862	13485
265	4878	13462
266	4893	13434
267	4909	13410
268	4927	13390
269	4943	13365
270	4959	13342
271	4976	13320
272	4992	13296
273	5009	13272
274	5024	13246
275	5043	13230
276	5059	13205
277	5076	13183
278	5092	13160
279	5111	13142
280	5127	13119
281	5143	13096
282	5159	13073
283	5176	13051
284	5193	13029
285	5210	13008
286	5225	12981
287	5241	12957
288	5257	12934
289	5271	12905
290	5288	12885
291	5303	12858
292	5320	12837
293	5335	12812
294	5353	12794
295	5371	12775
296	5386	12749
297	5402	12726
298	5417	12701
299	5433	12678
300	5452	12661
301	5467	12635
302	5482	12611
303	5498	12588
304	5514	12565
305	5529	12541
306	5543	12512
307	5561	12494
308	5574	12465
309	5590	12443
310	5609	12427
311	5624	12402
312	5640	12379
313	5655	12356
314	5672	12335
315	5687	12311
316	5702	12286
317	5716	12260
318	5732	12237
319	5747	12212
320	5771	12208
321	5788	12188
322	5804	12167
323	5821	12145
324	5835	12120
325	5856	12108
326	5871	12084
327	5887	12063
328	5904	12041
329	5922	12024
330	5938	12002
331	5956	11985
332	5976	11970
333	5995	11955
334	6016	11943
335	6034	11925
336	6054	11911
337	6073	11895
338	6093	11881
339	6112	11864
340	6129	11845
341	6145	11824
342	6164	11807
343	6182	11790
344	6203	11777
345	6221	11759
346	6243	11748
347	6260	11730
348	6279	11713
349	6299	11698
350	6318	11682
351	6335	11662
352	6353	11645
353	6371	11627
354	6391	11612
355	6411	11598
356	6429	11580
357	6449	11566
358	6466	11546
359	6486	11531
360	6503	11512
361	6522	11495
362	6541	11478
363	6561	11464
364	6583	11452
365	6601	11435
366	6618	11416
